year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,writein,candidatevotes,totalvotes,version,notes
2012,Alabama,AL,1,63,41,US President,"Romney, Mitt",republican,FALSE,1255925,2074338,20171015,NA
2012,Alabama,AL,1,63,41,US President,"Obama, Barack H.",democrat,FALSE,795696,2074338,20171015,NA
2012,Alabama,AL,1,63,41,US President,,independent,FALSE,18706,2074338,20171015,NA
2012,Alabama,AL,1,63,41,US President,,,TRUE,4011,2074338,20171015,NA
2012,Alaska,AK,2,94,81,US President,"Romney, Mitt",republican,FALSE,164676,300495,20171015,NA
2012,Alaska,AK,2,94,81,US President,"Obama, Barack H.",democrat,FALSE,122640,300495,20171015,NA
2012,Alaska,AK,2,94,81,US President,"Johnson, Gary",libertarian,FALSE,7392,300495,20171015,NA
2012,Alaska,AK,2,94,81,US President,"Stein, Jill",green,FALSE,2917,300495,20171015,NA
2012,Alaska,AK,2,94,81,US President,,,TRUE,2870,300495,20171015,NA
2012,Arizona,AZ,4,86,61,US President,"Romney, Mitt",republican,FALSE,1233654,2299254,20171015,NA
2012,Arizona,AZ,4,86,61,US President,"Obama, Barack H.",democrat,FALSE,1025232,2299254,20171015,NA
2012,Arizona,AZ,4,86,61,US President,"Johnson, Gary",libertarian,FALSE,32100,2299254,20171015,NA
2012,Arizona,AZ,4,86,61,US President,"Stein, Jill",green,FALSE,7816,2299254,20171015,NA
2012,Arizona,AZ,4,86,61,US President,,,TRUE,452,2299254,20171015,NA
2012,Arkansas,AR,5,71,42,US President,"Romney, Mitt",republican,FALSE,647744,1069468,20171015,NA
2012,Arkansas,AR,5,71,42,US President,"Obama, Barack H.",democrat,FALSE,394409,1069468,20171015,NA
2012,Arkansas,AR,5,71,42,US President,"Johnson, Gary",libertarian,FALSE,16276,1069468,20171015,NA
2012,Arkansas,AR,5,71,42,US President,"Stein, Jill",green,FALSE,9305,1069468,20171015,NA
2012,Arkansas,AR,5,71,42,US President,"La Riva, Gloria Estella",socialism and liberation party,FALSE,1734,1069468,20171015,NA
2012,California,CA,6,93,71,US President,"Obama, Barack H.",democrat,FALSE,7854285,13038547,20171015,NA
2012,California,CA,6,93,71,US President,"Romney, Mitt",republican,FALSE,4839958,13038547,20171015,NA
2012,California,CA,6,93,71,US President,"Johnson, Gary",libertarian,FALSE,143221,13038547,20171015,NA
2012,California,CA,6,93,71,US President,"Stein, Jill",green,FALSE,85638,13038547,20171015,NA
2012,California,CA,6,93,71,US President,"Barr, Roseanne",peace & freedom,FALSE,53824,13038547,20171015,NA
2012,California,CA,6,93,71,US President,"Hoefling, Thomas Conrad """"Tom""""",american independent party,FALSE,38372,13038547,20171015,NA
2012,California,CA,6,93,71,US President,,,TRUE,23249,13038547,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Obama, Barack H.",democrat,FALSE,1323101,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Romney, Mitt",republican,FALSE,1185243,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Johnson, Gary",libertarian,FALSE,35545,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Stein, Jill",green,FALSE,7508,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Goode, Virgil Hamlin, Jr.",american constitution party,FALSE,6234,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Barr, Roseanne",peace & freedom,FALSE,5057,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Reed, Jill Ann",no party affiliation,FALSE,2588,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Anderson, Ross Carl """"Rocky""""",justice,FALSE,1262,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Tittle, Sheila """"Samm""""",we the people,FALSE,791,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Hoefling, Thomas Conrad """"Tom""""",america's party,FALSE,679,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"La Riva, Gloria Estella",socialism and liberation party,FALSE,317,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Alexander, Stewart",socialist,FALSE,308,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Miller, Merlin",american third position,FALSE,267,2569516,20171015,NA
2012,Colorado,CO,8,84,62,US President,"Stevens, Thomas Robert """"Tom""""",objectivist party,FALSE,235,2569516,20171015,NA
