MemberName,LastName,FirstName,PartyAffiliation,State,OfficeAddress,OfficePhone,ContactFormURL,OfficialWebSite,Class,BioGuideURL,LeadershipPosition
Alexander (R-TN),Alexander,Lamar,Republican,Tennessee,455 Dirksen Senate Office Building Washington DC 20510,(202) 224-4944,"URL[""http://www.alexander.senate.gov/public/index.cfm?p=Email""]","URL[""http://www.alexander.senate.gov/""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=A000360""]",None
Baldwin (D-WI),Baldwin,Tammy,Democrat,Wisconsin,709 Hart Senate Office Building Washington DC 20510,(202) 224-5653,"URL[""https://www.baldwin.senate.gov/feedback""]","URL[""http://www.baldwin.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B001230""]",None
Barrasso (R-WY),Barrasso,John,Republican,Wyoming,307 Dirksen Senate Office Building Washington DC 20510,(202) 224-6441,"URL[""https://www.barrasso.senate.gov/public/index.cfm/contact-form""]","URL[""http://www.barrasso.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B001261""]",None
Bennet (D-CO),Bennet,Michael F.,Democrat,Colorado,261 Russell Senate Office Building Washington DC 20510,(202) 224-5852,"URL[""https://www.bennet.senate.gov/public/index.cfm/contact""]","URL[""http://www.bennet.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B001267""]",None
Blackburn (R-TN),Blackburn,Marsha,Republican,Tennessee,357 Dirksen Senate Office Building Washington DC 20510,(202) 224-3344,"URL[""https://www.blackburn.senate.gov/contact_marsha""]","URL[""https://www.blackburn.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B001243""]",None
Blumenthal (D-CT),Blumenthal,Richard,Democrat,Connecticut,706 Hart Senate Office Building Washington DC 20510,(202) 224-2823,"URL[""https://www.blumenthal.senate.gov/contact/""]","URL[""http://www.blumenthal.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B001277""]",None
Blunt (R-MO),Blunt,Roy,Republican,Missouri,260 Russell Senate Office Building Washington DC 20510,(202) 224-5721,"URL[""https://www.blunt.senate.gov/public/index.cfm/contact-roy""]","URL[""http://www.blunt.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B000575""]",None
Booker (D-NJ),Booker,Cory A.,Democrat,New Jersey,717 Hart Senate Office Building Washington DC 20510,(202) 224-3224,"URL[""https://www.booker.senate.gov/?p=contact""]","URL[""http://www.booker.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B001288""]",None
Boozman (R-AR),Boozman,John,Republican,Arkansas,141 Hart Senate Office Building Washington DC 20510,(202) 224-4843,"URL[""https://www.boozman.senate.gov/public/index.cfm/contact""]","URL[""http://www.boozman.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B001236""]",None
Braun (R-IN),Braun,Mike,Republican,Indiana,374 Russell Senate Office Building Washington DC 20510,(202) 224-4814,"URL[""http://www.braun.senate.gov/contact-mike""]","URL[""https://www.braun.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B001310""]",None
Brown (D-OH),Brown,Sherrod,Democrat,Ohio,503 Hart Senate Office Building Washington DC 20510,(202) 224-2315,"URL[""http://www.brown.senate.gov/contact/""]","URL[""http://www.brown.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B000944""]",None
Burr (R-NC),Burr,Richard,Republican,North Carolina,217 Russell Senate Office Building Washington DC 20510,(202) 224-3154,"URL[""https://www.burr.senate.gov/contact/email""]","URL[""http://www.burr.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B001135""]",None
Cantwell (D-WA),Cantwell,Maria,Democrat,Washington,511 Hart Senate Office Building Washington DC 20510,(202) 224-3441,"URL[""http://www.cantwell.senate.gov/public/index.cfm/email-maria""]","URL[""http://www.cantwell.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C000127""]",None
Capito (R-WV),Capito,Shelley Moore,Republican,West Virginia,172 Russell Senate Office Building Washington DC 20510,(202) 224-6472,"URL[""https://www.capito.senate.gov/contact/contact-shelley""]","URL[""http://www.capito.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C001047""]",None
Cardin (D-MD),Cardin,Benjamin L.,Democrat,Maryland,509 Hart Senate Office Building Washington DC 20510,(202) 224-4524,"URL[""http://www.cardin.senate.gov/contact/""]","URL[""http://www.cardin.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C000141""]",None
Carper (D-DE),Carper,Thomas R.,Democrat,Delaware,513 Hart Senate Office Building Washington DC 20510,(202) 224-2441,"URL[""http://www.carper.senate.gov/public/index.cfm/email-senator-carper""]","URL[""http://www.carper.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C000174""]",None
Casey (D-PA),Casey,"Robert P., Jr.",Democrat,Pennsylvania,393 Russell Senate Office Building Washington DC 20510,(202) 224-6324,"URL[""https://www.casey.senate.gov/contact/""]","URL[""http://www.casey.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C001070""]",None
Cassidy (R-LA),Cassidy,Bill,Republican,Louisiana,520 Hart Senate Office Building Washington DC 20510,(202) 224-5824,"URL[""https://www.cassidy.senate.gov/contact""]","URL[""http://www.cassidy.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C001075""]",None
Collins (R-ME),Collins,Susan M.,Republican,Maine,413 Dirksen Senate Office Building Washington DC 20510,(202) 224-2523,"URL[""http://www.collins.senate.gov/contact""]","URL[""http://www.collins.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C001035""]",None
Coons (D-DE),Coons,Christopher A.,Democrat,Delaware,218 Russell Senate Office Building Washington DC 20510,(202) 224-5042,"URL[""https://www.coons.senate.gov/contact""]","URL[""http://www.coons.senate.gov/""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C001088""]",None
Cornyn (R-TX),Cornyn,John,Republican,Texas,517 Hart Senate Office Building Washington DC 20510,(202) 224-2934,"URL[""https://www.cornyn.senate.gov/contact""]","URL[""http://www.cornyn.senate.gov/""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C001056""]",None
Cortez Masto (D-NV),Cortez Masto,Catherine,Democrat,Nevada,516 Hart Senate Office Building Washington DC 20510,(202) 224-3542,"URL[""https://www.cortezmasto.senate.gov/contact""]","URL[""http://www.cortezmasto.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C001113""]",None
Cotton (R-AR),Cotton,Tom,Republican,Arkansas,326 Russell Senate Office Building Washington DC 20510,(202) 224-2353,"URL[""http://www.cotton.senate.gov/?p=contact""]","URL[""http://www.cotton.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C001095""]",None
Cramer (R-ND),Cramer,Kevin,Republican,North Dakota,400 Russell Senate Office Building Washington DC 20510,(202) 224-2043,"URL[""https://www.cramer.senate.gov/contact_kevin""]","URL[""https://www.cramer.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C001096""]",None
Crapo (R-ID),Crapo,Mike,Republican,Idaho,239 Dirksen Senate Office Building Washington DC 20510,(202) 224-6142,"URL[""https://www.crapo.senate.gov/contact""]","URL[""http://www.crapo.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C000880""]",None
Cruz (R-TX),Cruz,Ted,Republican,Texas,127A Russell Senate Office Building Washington DC 20510,(202) 224-5922,"URL[""https://www.cruz.senate.gov/?p=form&id=16""]","URL[""http://www.cruz.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C001098""]",None
Daines (R-MT),Daines,Steve,Republican,Montana,320 Hart Senate Office Building Washington DC 20510,(202) 224-2651,"URL[""https://www.daines.senate.gov/connect/email-steve""]","URL[""http://www.daines.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=D000618""]",None
Duckworth (D-IL),Duckworth,Tammy,Democrat,Illinois,524 Hart Senate Office Building Washington DC 20510,(202) 224-2854,"URL[""https://www.duckworth.senate.gov/content/contact-senator""]","URL[""http://www.duckworth.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=D000622""]",None
Durbin (D-IL),Durbin,Richard J.,Democrat,Illinois,711 Hart Senate Office Building Washington DC 20510,(202) 224-2152,"URL[""https://www.durbin.senate.gov/contact/""]","URL[""http://www.durbin.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=D000563""]",Whip
Enzi (R-WY),Enzi,Michael B.,Republican,Wyoming,379A Russell Senate Office Building Washington DC 20510,(202) 224-3424,"URL[""http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi""]","URL[""http://www.enzi.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=E000285""]",None
Ernst (R-IA),Ernst,Joni,Republican,Iowa,730 Hart Senate Office Building Washington DC 20510,(202) 224-3254,"URL[""https://www.ernst.senate.gov/public/index.cfm/contact""]","URL[""http://www.ernst.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=E000295""]",None
Feinstein (D-CA),Feinstein,Dianne,Democrat,California,331 Hart Senate Office Building Washington DC 20510,(202) 224-3841,"URL[""https://www.feinstein.senate.gov/public/index.cfm/e-mail-me""]","URL[""http://www.feinstein.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=F000062""]",None
Fischer (R-NE),Fischer,Deb,Republican,Nebraska,454 Russell Senate Office Building Washington DC 20510,(202) 224-6551,"URL[""http://www.fischer.senate.gov/public/index.cfm/contact""]","URL[""http://www.fischer.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=F000463""]",None
Gardner (R-CO),Gardner,Cory,Republican,Colorado,354 Russell Senate Office Building Washington DC 20510,(202) 224-5941,"URL[""https://www.gardner.senate.gov/contact-cory/email-cory""]","URL[""http://www.gardner.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=G000562""]",None
Gillibrand (D-NY),Gillibrand,Kirsten E.,Democrat,New York,478 Russell Senate Office Building Washington DC 20510,(202) 224-4451,"URL[""https://www.gillibrand.senate.gov/contact/email-me""]","URL[""http://www.gillibrand.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=G000555""]",None
Graham (R-SC),Graham,Lindsey,Republican,South Carolina,290 Russell Senate Office Building Washington DC 20510,(202) 224-5972,"URL[""https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham""]","URL[""http://www.lgraham.senate.gov/""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=G000359""]",None
Grassley (R-IA),Grassley,Chuck,Republican,Iowa,135 Hart Senate Office Building Washington DC 20510,(202) 224-3744,"URL[""http://www.grassley.senate.gov/contact""]","URL[""http://www.grassley.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=G000386""]",President Pro Tempore
Harris (D-CA),Harris,Kamala D.,Democrat,California,112 Hart Senate Office Building Washington DC 20510,(202) 224-3553,"URL[""https://www.harris.senate.gov/contact""]","URL[""http://www.harris.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=H001075""]",None
Hassan (D-NH),Hassan,Margaret Wood,Democrat,New Hampshire,324 Hart Senate Office Building Washington DC 20510,(202) 224-3324,"URL[""https://www.hassan.senate.gov/content/contact-senator""]","URL[""http://www.hassan.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=H001076""]",None
Hawley (R-MO),Hawley,Josh,Republican,Missouri,212 Russell Senate Office Building Washington DC 20510,(202) 224-6154,"URL[""https://www.hawley.senate.gov/contact-senator-hawley""]","URL[""https://www.hawley.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=H001089""]",None
Heinrich (D-NM),Heinrich,Martin,Democrat,New Mexico,303 Hart Senate Office Building Washington DC 20510,(202) 224-5521,"URL[""http://www.heinrich.senate.gov/contact""]","URL[""http://www.heinrich.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=H001046""]",None
Hirono (D-HI),Hirono,Mazie K.,Democrat,Hawaii,713 Hart Senate Office Building Washington DC 20510,(202) 224-6361,"URL[""https://www.hirono.senate.gov/contact""]","URL[""http://www.hirono.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=H001042""]",None
Hoeven (R-ND),Hoeven,John,Republican,North Dakota,338 Russell Senate Office Building Washington DC 20510,(202) 224-2551,"URL[""http://www.hoeven.senate.gov/public/index.cfm/email-the-senator""]","URL[""http://www.hoeven.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=H001061""]",None
Hyde-Smith (R-MS),Hyde-Smith,Cindy,Republican,Mississippi,702 Hart Senate Office Building Washington DC 20510,(202) 224-5054,"URL[""https://www.hydesmith.senate.gov/content/contact-senator""]","URL[""https://www.hydesmith.senate.gov/""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=H001079""]",None
Inhofe (R-OK),Inhofe,James M.,Republican,Oklahoma,205 Russell Senate Office Building Washington DC 20510,(202) 224-4721,"URL[""https://www.inhofe.senate.gov/contact""]","URL[""http://www.inhofe.senate.gov/""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=I000024""]",None
Johnson (R-WI),Johnson,Ron,Republican,Wisconsin,328 Hart Senate Office Building Washington DC 20510,(202) 224-5323,"URL[""https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator""]","URL[""http://www.ronjohnson.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=J000293""]",None
Jones (D-AL),Jones,Doug,Democrat,Alabama,330 Hart Senate Office Building Washington DC 20510,(202) 224-4124,"URL[""https://www.jones.senate.gov/content/contact-senator""]","URL[""https://www.jones.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=J000300""]",None
Kaine (D-VA),Kaine,Tim,Democrat,Virginia,231 Russell Senate Office Building Washington DC 20510,(202) 224-4024,"URL[""https://www.kaine.senate.gov/contact""]","URL[""http://www.kaine.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=K000384""]",None
