countyFIPS,County Name,State,population,covid,death,political,score,political_score,dem_percentage,voters
0,Statewide Unallocated,AL,0,0,0,NA,-1,-999999,-1,-1
1001,Autauga County,AL,55869,3005,42,Republican,12236,13,0.246225319,24108
1003,Baldwin County,AL,223234,9728,138,Republican,54425,13,0.202077928,91341
1005,Barbour County,AL,24686,1223,29,Republican,583,13,0.471767554,10325
1007,Bibb County,AL,22394,1293,38,Republican,4864,13,0.217603344,8612
1009,Blount County,AL,57826,3299,46,Republican,20703,13,0.086188287,25015
1011,Bullock County,AL,10101,713,20,Democrat,-2390,13,0.755888651,4670
1013,Butler County,AL,19448,1236,42,Republican,1175,13,0.431899849,8627
1015,Calhoun County,AL,113605,7096,127,Republican,19623,13,0.28720151,46107
1017,Chambers County,AL,33254,1906,54,Republican,2059,13,0.424451457,13627
1019,Cherokee County,AL,26196,1093,24,Republican,7406,13,0.147333333,10500
1021,Chilton County,AL,44428,2391,45,Republican,12170,13,0.161794131,17992
1023,Choctaw County,AL,12589,440,20,Republican,997,13,0.430907831,7215
1025,Clarke County,AL,23622,1671,22,Republican,1391,13,0.446039258,12889
1027,Clay County,AL,13235,963,27,Republican,4008,13,0.190836162,6482
1029,Cleburne County,AL,14910,821,14,Republican,5080,13,0.106079404,6448
1031,Coffee County,AL,52342,2657,23,Republican,11654,13,0.210041799,20096
1033,Colbert County,AL,55241,3536,49,Republican,9434,13,0.303932164,24058
1035,Conecuh County,AL,12067,738,15,Republican,340,13,0.473846154,6500
1037,Coosa County,AL,10663,393,4,Republican,1599,13,0.34514817,5163
1039,Covington County,AL,37049,2370,38,Republican,10880,13,0.152484988,15654
1041,Crenshaw County,AL,13772,745,31,Republican,2849,13,0.269386434,6177
1043,Cullman County,AL,83768,5032,54,Republican,29191,13,0.103242993,36787
1045,Dale County,AL,49172,2528,59,Republican,9395,13,0.242193074,18221
1047,Dallas County,AL,37196,2384,33,Democrat,-7047,13,0.689181208,18625
1049,DeKalb County,AL,71513,5334,44,Republican,17783,13,0.144723698,25027
1051,Elmore County,AL,81209,4482,70,Republican,19191,13,0.23402722,36077
1053,Escambia County,AL,36633,2099,32,Republican,5330,13,0.316712517,14540
1055,Etowah County,AL,102268,7220,70,Republican,21911,13,0.244000467,42795
1057,Fayette County,AL,16302,1061,16,Republican,5350,13,0.168689621,8074
1059,Franklin County,AL,31362,2694,34,Republican,7269,13,0.188373489,11663
1061,Geneva County,AL,26271,1316,11,Republican,8469,13,0.132389964,11519
1063,Greene County,AL,8111,473,18,Democrat,-3175,13,0.827252113,4851
1065,Hale County,AL,14651,1028,32,Democrat,-1602,13,0.60078007,7948
1067,Henry County,AL,17205,925,7,Republican,3340,13,0.289247855,7924
1069,Houston County,AL,105882,5674,43,Republican,20064,13,0.257634325,41392
1071,Jackson County,AL,51626,3896,23,Republican,12999,13,0.180535758,20345
1073,Jefferson County,AL,658573,36475,520,Democrat,-22105,13,0.537897621,291641
1075,Lamar County,AL,13805,755,8,Republican,4787,13,0.151042426,6859
1077,Lauderdale County,AL,92729,4626,57,Republican,17947,13,0.262925682,37851
1079,Lawrence County,AL,32924,1422,36,Republican,7206,13,0.250829876,14460
1081,Lee County,AL,164542,8171,69,Republican,13387,13,0.380145755,55847
1083,Limestone County,AL,98915,4744,48,Republican,19599,13,0.245698715,38535
1085,Lowndes County,AL,9726,837,30,Democrat,-3132,13,0.736056678,6634
1087,Macon County,AL,18068,781,22,Democrat,-6135,13,0.840946982,8997
1089,Madison County,AL,372909,15090,160,Republican,26698,13,0.412374788,152342
1091,Marengo County,AL,18863,1312,24,Democrat,-382,13,0.517606932,10848
1093,Marion County,AL,29709,1537,36,Republican,9842,13,0.11270266,12706
1095,Marshall County,AL,96774,7133,58,Republican,24316,13,0.14398243,34150
1097,Mobile County,AL,413210,20869,379,Republican,22930,13,0.431471232,167302
1099,Monroe County,AL,20733,855,11,Republican,1463,13,0.427767355,10127
1101,Montgomery County,AL,226486,13003,247,Democrat,-24913,13,0.63405762,92919
1103,Morgan County,AL,119679,7600,58,Republican,26232,13,0.230898646,48740
1105,Perry County,AL,8923,707,7,Democrat,-2417,13,0.731026572,5231
1107,Pickens County,AL,19930,1313,21,Republican,1484,13,0.421298261,9428
1109,Pike County,AL,33114,1663,15,Republican,2637,13,0.396580124,12749
1111,Randolph County,AL,22722,1086,22,Republican,5414,13,0.229191677,9996
1113,Russell County,AL,57961,2359,3,Democrat,-369,13,0.509819575,18789
1115,St. Clair County,AL,89512,4768,57,Republican,26062,13,0.150080559,37240
1117,Shelby County,AL,217702,11546,79,Republican,50043,13,0.23935123,95997
1119,Sumter County,AL,12427,619,22,Democrat,-3165,13,0.75011854,6327
1121,Talladega County,AL,79978,3944,60,Republican,8493,13,0.370276463,32735
1123,Tallapoosa County,AL,40367,1934,92,Republican,8075,13,0.288756344,19113
1125,Tuscaloosa County,AL,209355,14182,177,Republican,15961,13,0.399597408,79485
1127,Walker County,AL,63521,3983,112,Republican,19769,13,0.156346695,28763
1129,Washington County,AL,16326,952,22,Republican,3668,13,0.282081749,8416
1131,Wilcox County,AL,10373,664,18,Democrat,-2602,13,0.714121132,6076
1133,Winston County,AL,23629,1484,25,Republican,8356,13,0.086336634,10100
0,Statewide Unallocated,AK,0,22,0,NA,-1,-999999,-1,-1
2013,Aleutians East Borough,AK,3337,31,0,Republican,2344,5,0.294817927,5712
2016,Aleutians West Census Area,AK,5634,20,0,Democrat,-91,5,0.507003232,6497
2020,Municipality of Anchorage,AK,288000,18175,78,Democrat,-1964,5,0.654938466,6338
2050,Bethel Census Area,AK,18386,1701,7,Republican,0,5,-1,0
2060,Bristol Bay Borough,AK,836,0,0,Republican,0,5,-1,0
2068,Denali Borough,AK,2097,43,0,Republican,0,5,-1,0
2070,Dillingham Census Area,AK,4916,82,1,Republican,0,5,-1,0
2090,Fairbanks North Star Borough,AK,96849,3651,17,Republican,0,5,-1,0
2100,Haines Borough,AK,2530,11,0,Republican,0,5,-1,0
2105,Hoonah-Angoon Census Area,AK,2148,43,0,Republican,0,5,-1,0
2110,City and Borough of Juneau,AK,31974,797,3,Republican,0,5,-1,0
2122,Kenai Peninsula Borough,AK,58708,2789,8,Republican,0,5,-1,0
2130,Ketchikan Gateway Borough,AK,13901,189,0,Republican,0,5,-1,0
2150,Kodiak Island Borough,AK,12998,417,1,Republican,0,5,-1,0
2158,Kusilvak Census Area,AK,8314,461,2,Republican,0,5,-1,0
2164,Lake and Peninsula Borough,AK,1592,83,0,Republican,0,5,-1,0
2170,Matanuska-Susitna Borough,AK,108317,4871,8,Republican,0,5,-1,0
2180,Nome Census Area,AK,10004,242,0,Republican,0,5,-1,0
2185,North Slope Borough,AK,9832,531,1,Republican,0,5,-1,0
2188,Northwest Arctic Borough,AK,7621,356,0,Republican,0,5,-1,0
2195,Petersburg Census Area,AK,3266,18,0,Republican,0,5,-1,0
2198,Prince of Wales-Hyder Census Area,AK,6203,56,1,Republican,0,5,-1,0
2220,Sitka City and Borough,AK,8493,205,0,Republican,0,5,-1,0
2230,Skagway Municipality,AK,1183,11,0,Republican,0,5,-1,0
2240,Southeast Fairbanks Census Area,AK,6893,302,2,Republican,0,5,-1,0
2261,Valdez-Cordova Census Area,AK,9202,229,3,Republican,0,5,-1,0
2270,Wade Hampton Census Area,AK,0,0,0,Republican,0,5,-1,0
2275,Wrangell City and Borough,AK,2502,15,0,Republican,0,5,-1,0
2282,Yakutat City and Borough,AK,579,0,0,Republican,0,5,-1,0
2290,Yukon-Koyukuk Census Area,AK,5230,180,3,Republican,0,5,-1,0
0,Statewide Unallocated,AZ,0,0,0,NA,-1,-999999,-1,-1
4001,Apache County,AZ,71887,5864,200,Democrat,-8843,3,0.674604115,25323
4003,Cochise County,AZ,125922,4342,89,Republican,10642,3,0.383162795,45542
4005,Coconino County,AZ,143476,8241,182,Democrat,-11296,3,0.605546419,53512
4007,Gila County,AZ,54018,3290,99,Republican,7179,3,0.330564078,21185
4009,Graham County,AZ,38837,2369,38,Republican,4724,3,0.291453293,11326
4011,Greenlee County,AZ,9498,293,3,Republican,800,3,0.365951743,2984
4012,La Paz County,AZ,21108,976,20,Republican,2428,3,0.282359269,5578
4013,Maricopa County,AZ,4485414,228312,4153,Republican,44454,3,0.484673867,1450268
4015,Mohave County,AZ,212181,7238,271,Republican,40827,3,0.230468595,75737
4017,Navajo County,AZ,110924,8766,277,Republican,4118,3,0.444405443,37036
4019,Pima County,AZ,1047279,45166,730,Democrat,-57233,3,0.572984705,392089
4021,Pinal County,AZ,462789,18739,273,Republican,24927,3,0.396749261,120711
4023,Santa Cruz County,AZ,46498,4416,76,Democrat,-7793,3,0.749983961,15587
4025,Yavapai County,AZ,235099,6621,130,Republican,35740,3,0.332865694,106920
4027,Yuma County,AZ,213787,19643,409,Republican,560,3,0.494374121,49770
0,Statewide Unallocated,AR,0,2696,0,NA,-1,-999999,-1,-1
5001,Arkansas County,AR,17486,1036,23,Republican,1887,11,0.336339983,5765
